id,topografi,pekerjaan_utama,prop_pln,bhn_bakar_masak,pemukiman_kumuh,pemukiman_bantaran,jml_paud_tk,jml_sd_sederajat,jml_smp_sederajat,jml_sma_sederajat,jml_akademi_pt,jml_rs_rsb,jml_puskesmas_pustu,jml_poli_dokter,jml_bersalin_bidan,jml_poskesdes_polindes,jml_dr_drg,jml_bank,status
PDS-12153,3,3,1.0,2,2,2,12,5,1,0,0,0,1,3,3,0,2,2,KELURAHAN
PDS-3269,3,6,1.0,3,2,0,10,6,4,5,0,2,2,4,3,0,4,4,KELURAHAN
PDS-4190,3,1,1.0,2,2,0,6,2,0,0,0,0,0,0,1,1,0,0,DESA
PDS-14372,1,2,1.0,5,2,1,6,3,1,0,0,0,0,0,3,1,0,0,DESA
PDS-18939,1,1,1.0,5,2,2,0,3,0,0,0,0,0,0,1,0,0,0,DESA
PDS-3923,3,1,1.0,2,2,2,4,5,2,2,0,0,1,0,3,1,0,0,DESA
PDS-22385,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,0,2,0,0,DESA
PDS-8204,3,1,1.0,2,2,2,8,4,1,1,0,0,1,1,1,2,2,0,DESA
PDS-19081,1,1,1.0,5,2,2,0,1,0,0,0,0,0,1,2,1,1,2,KELURAHAN
PDS-23063,3,1,1.0,2,2,2,6,4,0,0,0,0,1,1,2,1,2,0,DESA
PDS-15531,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,0,1,1,0,DESA
PDS-22516,3,3,1.0,3,2,1,12,2,0,0,0,0,0,2,1,1,3,1,DESA
PDS-3211,3,1,1.0,2,2,1,0,2,0,0,0,0,0,0,2,1,0,0,DESA
PDS-0313,1,1,1.0,2,2,0,3,2,0,0,0,0,0,0,1,1,1,0,DESA
PDS-14674,3,1,1.0,2,2,1,2,2,1,0,0,0,1,2,2,0,3,1,DESA
PDS-20859,3,1,1.0,2,2,1,4,3,1,0,0,0,0,0,3,3,0,0,DESA
PDS-4048,3,1,1.0,2,2,1,4,2,1,1,0,0,0,0,1,1,0,0,DESA
PDS-13124,3,4,1.0,2,2,1,10,8,7,5,2,0,0,2,2,1,0,1,DESA
PDS-15599,3,1,1.0,2,2,2,2,2,0,0,0,0,0,0,2,1,0,0,DESA
PDS-6675,3,1,1.0,2,1,1,2,1,0,0,0,0,1,0,0,1,0,0,DESA
PDS-11711,3,1,1.0,2,2,2,4,2,2,1,0,0,0,0,0,1,0,1,DESA
PDS-18126,1,1,1.0,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,DESA
PDS-23152,3,2,1.0,2,2,2,8,7,3,1,0,0,1,2,2,0,2,0,DESA
PDS-3383,3,1,1.0,2,2,0,2,1,0,0,0,0,0,0,0,1,1,0,DESA
PDS-3947,3,1,1.0,2,2,2,4,5,1,1,0,0,0,0,2,0,0,0,DESA
PDS-8350,3,3,1.0,3,2,0,6,4,2,2,0,0,0,1,3,0,1,0,DESA
PDS-2228,3,4,1.0,2,1,2,6,7,3,2,4,1,1,13,1,0,16,9,KELURAHAN
PDS-12323,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,1,0,0,DESA
PDS-11415,3,1,1.0,2,2,0,2,2,0,1,0,0,0,0,1,1,1,0,DESA
PDS-15704,3,1,1.0,5,2,2,0,2,0,0,0,0,0,0,1,0,0,0,DESA
PDS-16299,3,1,0.8705035971223022,2,2,0,2,2,1,0,0,0,1,1,2,1,1,0,DESA
PDS-25076,3,1,1.0,2,2,2,2,1,0,0,0,0,0,1,1,1,1,0,DESA
PDS-14958,3,1,1.0,3,2,2,8,3,1,0,0,0,0,0,1,2,0,0,DESA
PDS-6139,1,1,1.0,2,2,2,2,2,0,1,0,0,0,0,2,1,0,0,DESA
PDS-25176,3,1,1.0,2,2,2,6,2,1,0,0,0,0,0,0,1,0,0,DESA
PDS-7925,3,1,1.0,2,2,2,4,1,0,0,0,0,0,0,1,0,0,0,DESA
PDS-3835,3,1,1.0,2,2,0,2,1,1,0,0,0,1,0,2,0,0,0,DESA
PDS-5817,3,1,1.0,2,2,2,6,4,1,0,0,0,0,1,0,1,1,0,DESA
PDS-3363,3,1,1.0,2,2,1,10,5,1,1,0,0,0,0,1,1,0,0,DESA
PDS-15905,3,1,1.0,2,2,2,0,3,2,1,0,0,0,2,1,1,3,0,DESA
PDS-24409,1,1,0.5903030303030303,5,1,2,6,4,1,0,0,0,0,0,1,2,0,0,DESA
PDS-3663,3,1,1.0,2,2,1,2,2,2,2,0,0,0,0,1,0,0,0,DESA
PDS-17120,3,1,1.0,2,2,2,8,3,0,0,0,0,0,0,1,1,0,0,DESA
PDS-17287,3,1,1.0,2,2,2,5,5,2,2,0,0,0,0,1,1,0,0,DESA
PDS-22960,1,1,0.9013333333333333,5,2,2,12,5,4,1,0,0,1,0,1,1,0,0,DESA
PDS-7506,1,1,1.0,2,2,2,6,2,0,0,0,0,0,0,1,2,0,0,DESA
PDS-19418,3,1,0.998468606431853,2,2,0,2,1,0,0,0,0,1,0,1,0,0,0,DESA
PDS-0398,3,1,1.0,2,2,2,4,3,2,3,0,0,0,2,1,2,0,0,DESA
PDS-16994,3,6,1.0,2,2,2,8,3,1,3,0,3,0,6,0,0,3,1,KELURAHAN
PDS-15051,3,3,1.0,2,2,1,0,2,1,2,0,0,1,1,1,0,0,0,DESA
PDS-21587,3,1,1.0,2,2,2,4,2,0,0,0,0,0,0,2,1,0,0,DESA
PDS-7827,1,1,1.0,2,2,2,8,7,2,0,0,0,1,7,1,1,0,0,DESA
PDS-14510,3,1,1.0,2,2,2,10,6,0,0,0,0,0,0,1,1,0,0,DESA
PDS-21270,3,1,1.0,3,2,0,4,1,0,0,0,0,1,1,0,0,0,0,DESA
PDS-9300,3,1,1.0,2,2,2,8,4,1,1,0,0,1,0,2,0,0,0,DESA
PDS-22013,1,1,1.0,2,2,1,4,3,0,0,0,0,0,0,0,1,0,0,DESA
PDS-4044,3,6,1.0,2,2,2,6,6,6,6,0,2,1,1,2,0,3,1,KELURAHAN
PDS-20846,1,1,0.9973907371167645,5,2,1,2,5,1,0,0,0,0,0,1,2,0,0,DESA
PDS-6112,1,1,1.0,5,2,2,2,2,0,0,0,0,0,0,1,1,0,0,DESA
PDS-14194,3,1,1.0,2,2,0,2,1,0,0,0,0,0,0,1,2,0,0,DESA
PDS-24242,3,1,0.9989858012170385,2,2,0,2,1,1,1,0,0,0,0,2,1,0,1,DESA
PDS-24774,3,1,1.0,2,2,0,2,1,1,0,0,0,0,0,1,1,0,0,DESA
PDS-4529,3,1,1.0,2,2,2,8,2,0,1,0,0,0,1,4,0,0,0,DESA
PDS-5663,1,1,1.0,2,2,2,21,4,1,1,0,0,1,2,3,0,0,0,DESA
PDS-9505,3,1,1.0,2,1,0,5,1,0,0,0,0,0,1,1,0,1,0,DESA
PDS-1531,3,1,1.0,2,2,1,6,4,1,1,0,0,0,0,4,1,0,0,DESA
PDS-9977,3,1,1.0,2,2,2,6,4,2,1,0,0,0,0,1,1,0,0,DESA
PDS-8009,3,3,1.0,2,2,1,10,4,1,3,0,0,0,5,5,0,7,0,DESA
PDS-20156,3,1,1.0,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,DESA
PDS-18609,3,4,1.0,2,2,1,4,3,0,0,0,0,0,1,1,1,2,0,KELURAHAN
PDS-1247,3,4,1.0,2,2,2,4,5,1,1,0,0,0,1,3,1,1,1,DESA
PDS-23105,3,3,1.0,2,2,1,8,6,1,1,0,0,1,1,3,0,2,0,DESA
PDS-3581,3,1,1.0,2,2,1,8,4,1,2,0,0,1,0,1,0,0,0,DESA
PDS-19708,1,1,1.0,2,2,2,18,2,1,0,1,0,1,0,0,0,1,0,DESA
PDS-19216,3,1,1.0,2,2,2,6,1,0,0,0,0,1,0,0,1,0,0,DESA
PDS-18830,3,3,1.0,2,2,0,4,1,0,0,0,0,0,4,6,0,0,0,DESA
PDS-20786,3,3,1.0,2,2,2,6,3,1,0,0,0,1,2,1,1,0,1,DESA
PDS-0324,3,3,1.0,2,2,2,4,2,2,2,0,0,3,7,2,0,5,1,DESA
PDS-2255,3,1,1.0,2,2,2,16,8,2,3,0,0,0,0,3,0,0,0,DESA
PDS-15790,3,1,0.9887876664330764,3,2,1,10,2,0,0,0,0,1,0,2,0,0,0,DESA
PDS-10129,3,1,0.9618320610687023,2,2,2,2,4,2,2,0,0,0,0,1,2,0,0,DESA
PDS-9990,3,1,0.9986027014438752,2,1,2,6,3,0,0,0,0,0,0,3,1,0,1,DESA
PDS-9280,3,1,1.0,2,2,2,6,2,1,1,0,0,0,0,1,2,0,0,DESA
PDS-5503,3,1,1.0,2,1,2,0,1,1,0,0,0,0,0,0,1,0,0,DESA
PDS-23690,1,1,1.0,2,2,2,42,5,3,0,0,0,0,0,4,0,0,0,DESA
PDS-21645,3,1,0.8034960819770947,2,2,2,6,7,2,1,0,0,1,0,2,1,0,0,DESA
PDS-8778,3,1,1.0,2,2,2,10,3,3,0,0,0,0,1,1,2,4,0,DESA
PDS-12195,3,4,1.0,2,1,2,18,5,4,6,1,0,1,5,4,1,5,2,DESA
PDS-2169,3,3,1.0,2,2,0,36,6,2,2,0,0,0,10,8,1,1,0,KELURAHAN
PDS-4157,1,1,1.0,2,2,2,2,3,1,0,0,0,1,0,0,1,0,0,DESA
PDS-15798,3,1,1.0,2,1,0,6,2,0,0,0,0,0,0,2,1,0,0,DESA
PDS-25265,1,1,1.0,2,2,1,2,2,2,1,0,0,0,0,1,0,0,0,DESA
PDS-8507,3,1,1.0,2,2,2,2,1,1,0,0,0,1,0,1,0,0,0,DESA
PDS-8669,3,1,1.0,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,DESA
PDS-0853,3,1,1.0,2,2,2,2,3,1,0,0,0,1,1,1,0,0,0,DESA
PDS-4221,2,1,1.0,5,2,0,6,2,1,0,0,0,1,0,1,1,0,0,DESA
PDS-25229,1,4,1.0,2,1,0,6,3,1,1,1,0,1,3,2,0,7,0,KELURAHAN
PDS-23347,3,1,1.0,2,2,2,2,4,0,0,0,0,0,0,1,1,0,0,DESA
PDS-14536,3,1,1.0,2,1,0,6,6,0,0,0,0,1,0,6,0,0,0,DESA
PDS-8855,3,1,1.0,2,2,2,2,3,0,1,0,0,0,2,2,1,3,0,DESA
PDS-22945,3,3,1.0,2,1,2,0,2,0,0,0,0,0,1,1,1,0,0,DESA
PDS-14508,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,2,0,0,DESA
PDS-7489,3,3,1.0,2,2,2,6,2,0,0,0,0,1,1,1,2,1,0,DESA
PDS-2831,3,1,1.0,2,2,0,2,1,0,0,0,0,0,0,2,1,0,0,DESA
PDS-9793,3,1,1.0,2,2,2,2,2,1,0,0,0,0,0,1,2,0,0,DESA
PDS-10280,3,3,1.0,2,1,1,12,9,1,0,0,0,0,1,4,1,0,0,DESA
PDS-13239,3,6,1.0,2,2,2,2,1,1,1,0,2,1,3,1,2,4,1,DESA
PDS-21207,3,1,1.0,2,2,2,2,2,0,0,0,0,0,0,2,1,0,0,DESA
PDS-12012,1,3,1.0,2,2,2,2,2,1,0,0,0,0,0,6,1,1,0,DESA
PDS-20887,3,1,1.0,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0,DESA
PDS-7656,3,1,1.0,2,2,2,4,3,0,0,0,0,0,0,1,1,0,0,DESA
PDS-0675,3,1,1.0,2,2,2,2,2,1,0,0,0,0,1,2,2,4,0,DESA
PDS-17141,3,1,1.0,2,1,1,2,1,0,0,0,0,1,0,1,0,0,0,DESA
PDS-21918,1,1,1.0,2,2,2,4,1,0,0,0,0,0,0,0,1,0,0,DESA
PDS-6281,3,4,1.0,2,1,1,2,3,4,6,1,1,1,2,0,0,34,7,KELURAHAN
PDS-2056,3,1,1.0,2,2,0,2,3,1,0,0,0,1,1,2,0,0,0,DESA
PDS-22471,3,3,1.0,2,2,2,0,2,0,0,0,0,1,0,1,1,0,0,DESA
PDS-13295,3,1,1.0,2,2,2,2,1,1,0,0,0,1,0,1,2,0,0,DESA
PDS-9732,3,1,1.0,2,2,2,6,2,1,1,0,0,1,0,3,0,0,0,DESA
PDS-12138,3,3,1.0,3,2,0,2,2,0,0,0,0,0,2,2,0,0,5,DESA
PDS-6866,3,1,1.0,2,2,2,2,4,0,0,0,0,0,0,1,1,2,0,DESA
PDS-13154,1,1,1.0,2,2,2,2,2,1,1,0,0,1,0,0,1,0,0,DESA
PDS-15758,1,1,1.0,2,2,2,2,3,1,0,0,0,0,0,1,1,0,0,DESA
PDS-12345,3,6,1.0,2,1,2,8,5,2,0,0,0,1,1,2,1,1,0,DESA
PDS-2347,1,1,1.0,2,2,1,0,2,1,0,0,0,1,0,1,2,0,0,DESA
PDS-12291,3,3,1.0,2,2,0,6,3,2,0,0,0,1,0,3,1,0,0,DESA
PDS-7440,3,1,1.0,2,2,2,2,1,1,0,0,0,0,0,1,1,0,0,DESA
PDS-21661,1,1,1.0,5,2,1,4,2,1,1,0,0,0,0,1,1,0,0,DESA
PDS-20136,3,1,1.0,2,2,0,14,3,2,0,0,0,0,1,0,0,0,0,DESA
PDS-11817,3,1,1.0,2,1,2,2,3,1,1,0,0,0,0,2,1,0,0,DESA
PDS-17283,3,7,1.0,2,2,1,2,2,1,0,0,0,0,1,0,0,0,0,DESA
PDS-4060,1,1,1.0,5,2,2,16,5,3,1,0,0,1,0,2,2,1,0,DESA
PDS-2443,2,1,1.0,2,2,2,6,4,1,2,0,0,1,0,2,1,0,4,DESA
PDS-8827,3,7,1.0,2,2,1,2,3,1,0,0,0,0,0,2,1,0,0,DESA
PDS-5598,3,1,1.0,3,2,2,18,4,1,1,0,0,1,1,2,1,3,1,DESA
PDS-17254,3,1,1.0,2,2,1,4,6,2,2,0,0,0,3,6,2,3,3,DESA
PDS-17244,3,1,1.0,2,2,2,8,5,0,0,0,0,0,0,1,1,0,1,DESA
PDS-17638,3,1,1.0,2,2,2,4,3,0,0,0,0,1,0,1,2,0,1,DESA
PDS-13253,3,1,1.0,2,2,2,4,2,0,0,0,0,0,0,1,2,0,0,DESA
PDS-8828,3,1,1.0,2,2,2,6,6,1,2,0,0,1,1,4,0,1,0,DESA
PDS-22414,1,1,1.0,2,2,2,2,4,1,0,0,0,0,0,1,1,0,1,DESA
PDS-0424,3,1,1.0,2,2,2,18,4,1,0,0,0,1,0,4,0,0,0,DESA
PDS-24684,3,6,1.0,2,2,2,2,5,1,3,1,0,0,4,0,1,3,3,KELURAHAN
PDS-21308,3,1,1.0,2,2,2,7,5,2,1,0,0,1,1,2,1,0,0,DESA
PDS-4973,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,1,0,6,DESA
PDS-8461,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,1,1,0,DESA
PDS-20638,3,1,1.0,2,1,2,2,1,0,0,0,0,0,0,1,1,5,0,DESA
PDS-22728,3,6,1.0,2,2,0,4,2,0,0,0,0,0,0,1,0,0,0,DESA
PDS-18035,1,1,1.0,5,2,2,0,1,1,1,0,0,1,0,1,1,0,0,DESA
PDS-7086,3,1,1.0,2,2,2,2,2,1,0,0,0,0,0,2,0,0,0,DESA
PDS-5504,3,1,0.9903846153846154,5,2,2,2,3,1,0,0,0,1,0,1,1,0,0,DESA
PDS-20941,3,1,1.0,2,2,0,4,3,0,1,0,0,1,0,1,0,0,0,KELURAHAN
PDS-21360,3,6,1.0,2,1,1,10,7,0,0,0,0,1,2,4,0,1,0,DESA
PDS-3954,1,1,1.0,2,2,2,2,4,0,0,0,0,0,0,1,0,0,0,DESA
PDS-23877,1,1,1.0,2,2,2,4,7,2,0,0,0,1,0,2,2,0,0,DESA
PDS-3922,3,1,1.0,2,2,1,2,1,0,0,0,0,0,0,2,1,0,0,DESA
PDS-24861,3,1,1.0,2,2,0,2,2,0,0,0,0,0,0,1,1,1,0,DESA
PDS-12682,1,1,1.0,5,2,2,2,3,1,1,0,0,1,0,0,2,0,0,DESA
PDS-12903,3,1,1.0,2,2,2,2,3,0,0,0,0,0,1,3,1,1,0,DESA
PDS-17879,3,3,1.0,3,2,0,2,1,0,0,0,0,0,0,2,1,1,0,DESA
PDS-20328,3,1,1.0,2,2,2,4,5,0,0,0,0,0,0,1,2,0,0,DESA
PDS-10843,3,3,1.0,2,2,2,5,3,1,1,0,0,0,2,0,1,4,0,KELURAHAN
PDS-21795,3,6,1.0,2,2,1,4,2,1,6,2,1,1,2,5,0,2,2,KELURAHAN
PDS-11189,1,1,1.0,5,2,0,6,2,0,0,0,0,1,0,0,0,0,0,DESA
PDS-12610,3,1,1.0,2,2,2,4,4,1,1,0,0,0,0,3,1,0,0,DESA
PDS-10370,3,6,1.0,2,2,2,12,7,4,4,1,0,1,13,12,0,3,0,KELURAHAN
PDS-24694,3,1,1.0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,DESA
PDS-24560,3,1,1.0,2,2,2,4,3,0,0,0,0,0,0,2,1,0,0,DESA
PDS-2560,3,1,0.8071895424836601,2,1,2,2,4,1,1,0,0,1,1,7,0,1,0,DESA
PDS-10910,3,1,1.0,2,2,2,0,1,0,0,0,0,0,0,1,1,0,0,DESA
PDS-21640,3,1,1.0,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,DESA
PDS-7754,3,1,1.0,2,2,2,2,1,0,0,0,0,0,1,1,1,1,0,DESA
PDS-0197,3,3,1.0,2,1,2,6,2,1,1,0,0,1,0,2,1,0,1,KELURAHAN
PDS-14361,3,4,1.0,2,2,2,4,1,0,0,0,0,0,0,1,1,0,0,DESA
PDS-4348,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,2,1,0,0,DESA
PDS-15215,3,1,1.0,2,2,2,1,1,0,1,0,0,1,0,0,0,0,0,DESA
PDS-20835,3,1,1.0,2,2,2,2,3,1,0,0,0,0,0,1,1,0,0,DESA
PDS-4286,1,1,1.0,2,2,2,12,6,1,1,0,0,0,1,2,1,0,0,DESA
PDS-13785,3,1,0.9804250559284117,2,2,2,6,3,1,1,0,0,3,2,1,1,2,0,DESA
PDS-8242,3,3,1.0,2,2,2,4,3,1,1,0,0,0,1,1,1,0,0,KELURAHAN
PDS-2605,3,1,1.0,5,2,2,6,6,4,2,0,0,1,0,2,3,0,0,DESA
PDS-2300,3,1,1.0,2,2,0,4,2,1,2,0,0,0,0,1,1,0,0,DESA
PDS-16400,3,1,1.0,2,2,2,2,1,0,0,0,0,1,0,0,1,0,0,DESA
PDS-17891,1,1,1.0,2,2,2,4,2,0,0,0,0,0,1,1,1,0,0,DESA
PDS-20938,1,1,0.7050919377652051,2,1,1,6,5,3,0,0,0,0,1,0,0,1,0,DESA
PDS-22080,3,1,1.0,2,2,2,4,2,0,0,0,0,0,0,1,1,0,0,DESA
PDS-5772,3,1,1.0,2,2,0,18,14,7,4,0,0,1,2,3,2,3,0,DESA
PDS-10405,1,1,1.0,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,DESA
PDS-8584,3,1,1.0,5,2,2,4,4,0,0,0,0,0,0,1,1,0,0,DESA
PDS-9160,3,4,1.0,5,2,2,4,4,2,0,0,0,1,1,1,1,2,0,DESA
PDS-24592,3,1,1.0,2,2,0,2,3,0,0,0,0,0,0,1,0,0,4,DESA
PDS-4950,3,1,1.0,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,DESA
PDS-8375,1,1,1.0,2,2,2,10,3,3,2,0,0,0,0,3,0,0,0,DESA
PDS-11038,3,1,1.0,2,2,2,4,3,0,0,0,0,1,0,1,2,0,0,DESA
PDS-24963,3,1,1.0,2,1,2,14,7,2,2,0,0,0,0,0,1,0,0,DESA
PDS-22415,3,1,0.9913221031138336,5,2,2,4,6,1,0,0,0,0,0,1,2,0,0,DESA
PDS-17599,3,1,0.9994703389830508,2,1,1,14,8,3,3,0,0,1,3,3,0,2,1,DESA
PDS-16883,3,4,1.0,2,2,0,18,5,2,3,0,1,1,10,2,1,18,20,KELURAHAN
PDS-24903,3,1,1.0,2,2,0,2,2,0,0,0,0,0,0,1,1,0,0,DESA
PDS-5815,3,1,1.0,2,1,0,2,1,0,0,0,0,0,0,0,1,0,0,DESA
PDS-20750,3,1,1.0,2,2,2,8,10,3,2,0,0,1,0,0,1,0,0,DESA
PDS-8623,3,1,1.0,2,2,1,4,3,0,0,0,0,0,0,1,1,0,0,DESA
PDS-9518,3,1,1.0,3,2,2,0,2,1,2,0,0,1,2,1,1,2,0,DESA
PDS-19600,3,1,1.0,2,2,2,2,2,3,4,0,0,0,1,0,1,1,0,DESA
PDS-11223,3,1,1.0,2,2,0,2,3,1,1,0,0,1,2,1,0,2,0,DESA
PDS-13682,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,1,0,0,DESA
PDS-23909,3,1,0.9908459595959596,2,2,2,10,6,2,3,0,0,2,4,2,1,1,2,DESA
PDS-24358,3,1,1.0,2,2,2,2,3,1,0,0,1,0,2,0,1,3,0,DESA
PDS-14330,3,1,1.0,2,2,2,4,4,1,0,0,0,1,0,2,1,0,0,DESA
PDS-19752,3,1,1.0,5,2,2,6,2,1,0,0,0,1,0,0,0,0,0,DESA
PDS-4470,3,1,1.0,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,DESA
PDS-6301,3,3,0.99569151227919,2,2,0,4,3,0,0,0,0,0,1,2,1,0,1,KELURAHAN
PDS-6294,1,1,0.9978768577494692,2,2,0,2,2,1,2,0,0,0,0,1,2,0,0,DESA
PDS-18651,1,1,1.0,2,2,2,6,3,0,0,0,0,0,1,1,0,0,0,KELURAHAN
PDS-10134,1,1,1.0,2,2,2,4,3,0,0,0,0,0,0,0,1,0,0,DESA
PDS-8923,3,1,1.0,2,2,2,3,1,0,0,0,0,0,0,0,1,0,0,DESA
PDS-22000,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,1,0,1,DESA
PDS-6892,3,1,1.0,2,1,1,4,2,0,0,0,0,0,0,0,0,0,0,DESA
PDS-4535,3,1,1.0,5,2,2,2,2,0,0,0,0,0,0,0,1,0,0,DESA
PDS-23782,3,1,1.0,2,1,2,7,4,3,2,0,0,1,0,0,0,1,0,DESA
PDS-3712,3,1,1.0,2,2,2,2,5,0,0,0,0,0,0,1,1,0,0,DESA
PDS-16268,3,1,1.0,2,2,2,2,3,0,0,0,0,0,0,1,1,0,0,DESA
PDS-21474,3,1,1.0,2,2,0,4,4,0,0,0,0,1,3,2,1,2,1,DESA
PDS-11052,3,1,1.0,2,2,2,4,2,0,0,0,0,0,0,2,1,0,0,DESA
PDS-8405,3,1,1.0,2,2,2,10,6,3,5,0,0,0,0,0,1,0,0,DESA
PDS-7396,3,1,1.0,2,2,0,8,2,2,1,0,0,0,0,1,2,0,0,DESA
PDS-16963,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,2,0,0,DESA
PDS-16401,3,1,1.0,2,2,0,2,1,1,1,0,0,0,0,0,1,0,0,DESA
PDS-8396,3,1,1.0,2,2,2,6,4,0,0,0,0,0,0,2,1,0,0,DESA
PDS-6935,3,1,1.0,2,2,2,2,9,2,0,0,0,0,0,2,2,0,0,DESA
PDS-5115,1,1,1.0,2,2,2,0,7,0,0,0,0,1,2,1,1,0,0,DESA
PDS-18530,3,1,1.0,2,2,2,2,3,0,0,0,0,1,1,2,1,2,0,DESA
PDS-11058,3,3,1.0,2,2,2,4,2,0,2,1,0,1,0,0,0,2,0,KELURAHAN
PDS-6046,1,1,1.0,2,2,2,4,1,0,0,0,0,0,0,1,1,0,0,DESA
