id,topografi,pekerjaan_utama,prop_pln,bhn_bakar_masak,pemukiman_kumuh,pemukiman_bantaran,jml_paud_tk,jml_sd_sederajat,jml_smp_sederajat,jml_sma_sederajat,jml_akademi_pt,jml_rs_rsb,jml_puskesmas_pustu,jml_poli_dokter,jml_bersalin_bidan,jml_poskesdes_polindes,jml_dr_drg,jml_bank
PDS-0216,3,1,1.0,2,2,2,12,5,6,6,1,0,1,4,1,0,4,0
PDS-0227,3,6,1.0,2,1,1,4,6,3,2,1,0,0,5,4,0,2,5
PDS-0235,3,3,1.0,2,2,0,2,4,1,0,0,0,2,2,2,0,2,1
PDS-0236,3,1,0.9979838709677419,2,2,2,0,2,0,1,0,0,0,2,1,1,2,1
PDS-0237,3,7,1.0,2,2,2,6,4,1,3,0,0,0,2,2,0,3,4
PDS-0239,3,4,1.0,2,2,2,4,2,1,1,0,0,1,1,1,0,1,0
PDS-0259,3,1,1.0,2,2,2,2,3,0,0,0,0,0,1,1,2,1,0
PDS-0270,3,3,1.0,2,1,1,12,4,2,0,0,1,0,2,2,1,2,0
PDS-0272,1,1,1.0,5,2,0,4,5,1,0,0,0,1,0,1,0,0,0
PDS-0277,1,1,1.0,5,2,2,2,2,1,0,0,0,1,0,1,0,0,0
PDS-0282,1,1,1.0,5,2,2,16,3,1,1,0,0,0,0,1,1,0,0
PDS-0283,1,1,1.0,5,2,2,2,1,0,0,0,0,0,0,0,1,0,0
PDS-0295,3,4,1.0,2,1,1,2,2,0,0,0,0,0,3,1,1,3,7
PDS-0302,3,1,1.0,2,2,2,4,4,0,0,0,0,0,2,2,2,2,0
PDS-0303,3,1,1.0,2,2,2,2,2,0,0,0,0,1,0,1,0,0,0
PDS-0315,3,1,1.0,3,2,2,2,2,1,0,0,0,1,0,1,0,0,0
PDS-0337,3,4,1.0,2,2,0,8,4,1,1,0,1,0,4,1,1,6,13
PDS-0339,3,3,1.0,2,2,1,5,2,1,0,0,0,0,1,1,1,0,0
PDS-0341,3,1,1.0,2,2,2,6,3,0,0,0,0,0,1,2,1,1,0
PDS-0343,3,1,1.0,3,2,2,4,7,2,2,0,0,1,3,6,1,2,1
PDS-0353,1,1,1.0,2,2,2,0,2,1,0,0,0,0,0,2,1,0,0
PDS-0359,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0
PDS-0363,3,1,1.0,3,2,2,2,1,0,0,0,0,0,2,1,1,2,0
PDS-0365,3,1,1.0,3,2,2,0,3,0,1,0,0,1,0,1,0,0,0
PDS-0366,3,7,1.0,2,2,2,2,1,0,0,0,0,0,0,2,1,0,0
PDS-0375,3,1,1.0,2,2,2,4,3,2,1,0,0,0,0,1,1,0,0
PDS-0385,3,1,1.0,2,2,1,4,1,0,0,0,0,0,0,2,1,0,0
PDS-0387,3,1,1.0,2,2,0,5,1,1,2,0,0,0,1,3,2,1,1
PDS-0390,3,1,1.0,2,2,1,14,5,2,1,0,0,2,8,6,0,8,0
PDS-0392,3,1,1.0,2,2,2,18,5,3,1,0,0,0,2,2,1,2,0
PDS-0393,3,6,1.0,2,2,2,14,0,0,1,0,0,0,3,3,0,5,2
PDS-0405,3,1,1.0,2,2,2,12,2,1,1,0,0,0,2,2,2,3,1
PDS-0407,3,1,1.0,2,2,2,2,1,1,0,0,0,0,0,1,1,0,0
PDS-0413,3,1,1.0,2,2,2,2,5,1,0,0,0,0,1,1,1,0,0
PDS-0418,3,1,1.0,5,2,0,4,4,0,0,0,0,0,0,1,2,0,0
PDS-0420,1,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,1,0,0
PDS-0437,3,1,1.0,2,2,2,4,6,2,3,0,0,0,2,1,0,1,0
PDS-0442,1,1,1.0,2,2,1,2,2,0,0,0,0,0,0,0,1,0,0
PDS-0443,3,1,1.0,5,2,0,2,2,0,0,0,0,0,0,0,1,0,0
PDS-0447,3,1,1.0,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0
PDS-0459,3,6,1.0,2,2,2,2,4,1,0,0,0,1,1,4,0,4,0
PDS-0476,3,1,1.0,2,2,2,4,6,2,0,0,0,1,0,1,1,0,0
PDS-0482,3,1,1.0,2,2,0,8,3,1,0,0,0,0,1,3,0,0,1
PDS-0489,1,6,1.0,2,2,2,12,6,2,1,0,0,1,0,1,1,0,0
PDS-0490,3,1,1.0,2,2,2,8,5,1,2,0,0,0,2,2,0,1,0
PDS-0493,3,1,1.0,2,2,2,2,3,0,0,0,0,1,0,1,1,0,0
PDS-0503,1,1,1.0,5,2,2,2,1,1,0,0,0,1,0,0,0,0,0
PDS-0505,1,1,1.0,2,2,2,4,4,1,0,0,0,1,2,2,1,0,2
PDS-0509,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,1,0,1
PDS-0515,3,1,1.0,2,2,2,14,6,1,0,0,0,0,0,3,0,0,0
PDS-0523,2,1,1.0,2,2,2,6,1,0,0,0,0,0,0,1,0,0,0
PDS-0526,3,3,1.0,2,2,0,0,3,0,0,0,0,0,0,2,2,0,0
PDS-0527,3,1,1.0,2,2,2,2,1,0,1,0,0,1,1,1,1,0,0
PDS-0530,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,2,0,0
PDS-0540,3,1,0.9503225806451613,2,2,2,2,4,0,0,0,0,1,0,2,0,0,0
PDS-0542,3,1,0.9981412639405205,5,2,2,2,2,0,0,0,0,0,0,1,1,0,0
PDS-0546,3,1,1.0,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0
PDS-0553,3,1,1.0,2,2,0,6,2,1,0,0,0,1,1,1,0,1,0
PDS-0558,3,6,1.0,2,1,2,6,6,2,6,1,0,1,3,0,1,1,0
PDS-0561,3,1,1.0,2,2,0,0,3,0,0,0,0,0,0,0,1,0,0
PDS-0570,3,1,1.0,2,2,2,6,1,1,1,0,0,0,0,1,1,0,0
PDS-0571,1,1,1.0,5,2,2,2,1,0,0,0,0,0,0,1,1,0,0
PDS-0572,3,4,1.0,2,2,0,2,3,0,0,0,0,0,0,1,1,0,0
PDS-0573,3,1,1.0,2,2,2,6,2,1,1,0,0,0,0,0,1,0,0
PDS-0588,3,4,1.0,2,2,2,8,1,0,0,0,0,1,4,3,0,3,2
PDS-0594,1,1,1.0,5,2,2,0,2,1,1,0,0,0,1,1,0,0,0
PDS-0598,3,1,1.0,2,2,0,2,3,0,0,0,0,1,0,2,1,0,0
PDS-0613,3,1,1.0,2,2,2,2,1,1,0,0,0,0,0,1,1,0,0
PDS-0615,3,3,1.0,2,2,2,0,3,1,0,0,0,0,0,1,1,0,0
PDS-0620,3,1,1.0,2,2,2,6,4,4,1,0,0,0,3,3,1,1,2
PDS-0629,1,1,0.9991063449508489,3,2,2,0,2,1,0,0,0,0,0,0,1,0,0
PDS-0630,3,1,1.0,2,2,2,4,2,0,0,0,0,0,0,0,1,0,0
PDS-0631,3,1,1.0,2,2,2,12,4,1,2,0,0,1,0,3,1,0,0
PDS-0633,3,1,1.0,2,2,2,4,3,0,0,0,0,1,0,1,1,0,0
PDS-0635,3,1,1.0,2,2,2,6,2,2,2,0,0,1,3,3,0,2,2
PDS-0646,3,1,1.0,2,2,2,5,5,2,2,0,0,1,0,2,0,0,2
PDS-0651,3,6,1.0,2,2,1,8,6,4,3,0,0,1,1,3,0,3,0
PDS-0662,3,1,1.0,2,2,2,2,5,1,1,0,0,1,2,4,1,1,0
PDS-0664,1,1,1.0,5,2,2,4,2,1,0,0,0,0,0,0,1,0,0
PDS-0667,3,4,1.0,2,1,0,18,5,4,3,0,0,0,2,4,0,0,1
PDS-0668,3,1,1.0,2,2,0,7,4,2,0,0,0,0,0,0,1,0,0
PDS-0671,3,4,1.0,2,2,2,4,2,1,2,0,0,0,1,2,1,5,4
PDS-0672,3,1,1.0,2,2,2,8,4,3,2,0,0,0,0,0,1,0,0
PDS-0681,3,1,1.0,5,2,2,2,1,0,0,0,0,0,0,1,0,0,0
PDS-0686,3,1,0.9966273187183811,3,2,2,32,4,3,1,0,0,1,2,2,0,2,1
PDS-0688,3,1,1.0,2,2,1,8,8,2,2,0,0,1,3,4,2,3,1
PDS-0690,3,4,1.0,2,2,2,2,3,3,0,0,0,1,1,1,1,0,7
PDS-0691,3,6,1.0,2,2,0,10,8,0,0,0,1,1,2,1,2,1,1
PDS-0699,3,7,1.0,2,2,2,2,4,1,0,0,0,1,1,0,0,1,0
PDS-0700,3,1,1.0,2,2,2,2,3,1,1,0,0,1,0,2,0,3,0
PDS-0718,3,3,1.0,2,2,0,4,2,0,0,0,0,0,2,0,1,1,2
PDS-0720,3,1,0.8845437616387337,2,2,2,2,2,1,0,0,0,0,0,3,1,0,1
PDS-0722,3,4,1.0,3,2,1,10,10,4,4,0,0,1,3,12,0,6,0
PDS-0727,3,1,0.9984567901234568,2,2,2,2,1,1,0,0,0,0,0,1,1,0,0
PDS-0729,3,1,1.0,3,2,2,2,2,1,0,0,0,0,0,1,0,0,0
PDS-0768,1,1,1.0,2,2,2,4,5,2,1,0,0,1,0,3,0,0,2
PDS-0769,1,1,1.0,2,2,2,4,3,0,0,0,0,1,0,1,0,0,0
PDS-0770,3,1,1.0,2,2,2,4,4,2,2,0,0,0,0,1,2,0,0
PDS-0772,1,1,1.0,2,2,2,4,3,0,0,0,0,1,0,1,0,0,0
PDS-0779,3,1,1.0,2,2,0,4,4,3,0,0,0,0,0,1,1,0,0
PDS-0781,3,1,1.0,2,2,2,10,3,3,2,0,0,0,2,1,0,2,0
PDS-0782,3,1,1.0,2,2,2,6,3,0,0,0,0,0,1,0,2,1,0
PDS-0785,3,4,1.0,2,2,2,4,7,2,2,0,0,1,2,2,1,1,1
PDS-0786,1,1,1.0,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0
PDS-0794,3,1,1.0,3,2,2,3,3,1,0,0,0,1,0,4,0,1,2
PDS-0805,3,1,1.0,2,2,2,2,3,0,0,0,0,0,1,2,1,4,0
PDS-0807,3,1,1.0,2,2,2,4,5,0,0,0,0,0,0,0,1,0,0
PDS-0815,3,1,1.0,2,2,1,2,6,1,2,1,0,0,0,1,0,0,0
PDS-0817,3,1,1.0,2,2,0,2,2,1,1,0,0,1,0,0,0,1,0
PDS-0823,3,1,1.0,2,2,2,2,1,1,0,0,0,1,0,1,0,2,0
PDS-0824,3,1,1.0,2,2,2,2,3,0,0,0,0,1,0,0,1,0,0
PDS-0828,1,1,1.0,5,2,2,4,3,1,1,0,0,1,1,2,1,1,0
PDS-0831,3,4,1.0,2,2,0,13,5,3,0,0,0,0,4,3,1,2,6
PDS-0846,3,6,1.0,2,1,1,2,4,4,4,2,0,2,5,1,0,1,3
PDS-0847,3,1,1.0,2,2,2,4,2,1,0,0,0,0,0,1,1,1,0
PDS-0852,3,1,0.9851720047449585,2,2,2,2,3,6,0,0,0,0,1,2,1,0,0
PDS-0854,3,1,1.0,2,2,2,12,5,1,0,0,1,1,6,5,1,2,0
PDS-0855,3,3,1.0,3,2,0,2,1,0,0,0,0,0,2,1,1,1,0
PDS-0856,3,1,1.0,2,2,2,12,3,1,0,0,0,0,1,6,2,1,0
PDS-0858,1,1,1.0,2,2,2,4,4,1,0,0,0,1,0,0,1,0,0
PDS-0860,3,1,1.0,2,2,2,24,5,2,0,0,1,1,0,1,0,2,0
PDS-0861,3,1,1.0,2,2,2,2,1,1,0,0,0,0,0,2,1,0,0
PDS-0862,3,4,1.0,2,2,2,6,4,0,0,0,0,0,2,3,1,0,0
PDS-0870,1,1,0.9845744680851064,2,2,2,14,6,2,0,0,0,1,0,2,0,0,1
PDS-0871,3,1,1.0,2,1,1,2,1,1,1,0,0,0,0,1,1,0,0
PDS-0877,1,1,1.0,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0
PDS-0883,3,1,1.0,2,2,2,4,4,1,0,0,0,1,0,1,1,3,2
PDS-0888,3,1,1.0,2,2,2,2,3,0,0,0,0,1,1,2,2,1,0
PDS-0893,3,1,1.0,2,2,0,4,2,0,0,0,0,0,0,1,2,0,0
PDS-0895,1,4,1.0,2,2,2,4,3,0,0,0,0,0,0,1,1,0,0
PDS-0898,3,1,1.0,2,1,2,4,3,0,0,0,0,0,0,1,1,0,0
PDS-0900,3,1,1.0,2,1,2,4,4,1,0,0,0,0,0,1,1,0,1
PDS-0911,3,4,1.0,2,2,2,3,4,2,1,0,0,1,0,0,1,0,1
PDS-0918,1,1,0.9964221824686941,2,2,2,4,3,0,0,0,0,0,0,1,1,0,0
PDS-0920,3,3,1.0,3,2,1,3,2,4,2,0,2,1,3,1,1,1,3
PDS-0923,3,4,1.0,2,2,2,2,3,2,3,1,0,0,4,3,0,12,11
PDS-0924,3,1,0.0,2,2,2,8,6,2,1,0,0,0,0,1,1,0,0
PDS-0930,3,1,1.0,2,2,0,4,2,1,1,0,0,0,0,1,1,0,0
PDS-0936,3,1,1.0,2,2,2,10,6,2,2,0,0,1,3,2,0,2,1
PDS-0952,3,1,1.0,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0
PDS-0955,1,1,1.0,2,2,2,0,2,0,0,0,0,0,0,1,1,0,0
PDS-0956,3,1,1.0,2,2,2,8,2,0,4,1,0,1,2,0,0,1,0
PDS-0957,3,1,0.9185823754789272,5,2,1,4,3,1,0,0,0,0,0,2,0,0,0
PDS-0969,3,6,1.0,2,2,2,6,5,1,1,0,0,1,1,3,0,6,1
PDS-0975,3,1,1.0,2,2,2,4,2,0,0,0,0,0,0,1,1,0,0
PDS-0988,3,1,1.0,5,2,1,2,1,0,0,0,0,0,0,1,2,0,0
PDS-0989,3,4,1.0,2,2,2,24,5,2,1,0,0,1,0,4,0,1,0
PDS-0996,3,1,1.0,5,2,0,4,3,2,2,0,0,0,0,0,1,0,0
PDS-1000,3,1,1.0,2,2,2,3,2,1,0,0,0,1,1,0,0,1,0
PDS-1001,3,1,1.0,2,2,2,2,2,1,0,0,0,1,0,1,1,0,0
PDS-1008,3,1,1.0,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0
PDS-1014,3,1,0.9994962216624685,2,2,1,4,4,1,1,0,0,0,0,3,1,0,0
PDS-1015,3,1,0.9290123456790124,2,2,0,0,5,2,0,0,0,0,0,1,0,0,0
PDS-1016,3,1,1.0,2,2,2,2,4,2,1,1,0,1,0,1,0,0,2
PDS-1017,3,1,1.0,2,2,1,2,2,0,0,0,0,1,1,1,0,0,0
PDS-1020,3,3,1.0,3,2,2,5,4,1,0,0,0,0,0,4,1,4,1
PDS-1022,3,3,1.0,2,2,1,10,5,2,2,1,0,1,4,2,1,3,3
PDS-1059,3,6,1.0,2,2,1,4,2,0,0,0,0,1,0,0,2,0,0
PDS-1060,1,1,1.0,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0
PDS-1061,3,4,1.0,2,2,1,8,10,4,3,0,0,0,1,4,0,0,0
PDS-1063,3,4,1.0,3,1,0,10,5,2,1,1,2,2,24,5,0,21,3
PDS-1073,3,1,1.0,2,2,2,2,2,1,0,0,0,0,0,1,1,0,0
PDS-1081,3,1,1.0,2,2,2,6,2,0,0,0,0,0,0,2,1,0,0
PDS-1082,3,3,1.0,2,1,1,16,7,2,0,0,0,1,3,0,0,7,10
PDS-1089,3,1,1.0,2,2,2,4,2,1,1,0,0,0,0,1,1,0,0
PDS-1090,3,3,1.0,2,2,2,2,5,3,3,1,0,1,6,3,0,6,9
PDS-1094,3,1,1.0,5,2,2,6,7,4,1,0,0,1,0,1,1,0,0
PDS-1099,3,3,1.0,3,2,2,12,4,3,4,0,0,1,3,6,0,1,1
PDS-1103,3,4,1.0,2,2,1,4,5,3,2,0,0,1,3,3,0,3,12
PDS-1105,3,1,1.0,2,2,2,4,3,0,0,0,0,0,0,4,1,0,1
PDS-1106,3,1,1.0,2,2,2,6,5,1,1,0,0,0,0,2,1,0,0
PDS-1117,3,3,1.0,2,2,0,0,3,1,0,0,0,1,2,2,2,1,0
PDS-1118,3,1,1.0,2,2,2,2,6,4,3,0,0,0,0,1,1,0,0
PDS-1121,3,1,1.0,2,2,2,4,3,1,0,0,0,0,0,1,0,1,0
PDS-1126,3,3,1.0,2,1,1,6,3,0,0,0,0,1,4,0,0,2,1
PDS-1133,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0
PDS-1135,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,1,0,0
PDS-1137,1,1,1.0,2,2,2,2,2,0,1,0,0,1,1,2,0,2,0
PDS-1138,3,1,1.0,2,2,0,6,2,2,1,0,0,1,0,2,0,0,0
PDS-1141,3,1,1.0,2,1,1,10,5,2,0,1,0,1,0,1,0,0,0
PDS-1142,3,1,1.0,2,2,2,0,1,0,0,0,0,0,0,1,1,0,0
PDS-1151,1,1,1.0,5,2,2,10,3,0,0,0,0,0,0,1,1,0,0
PDS-1152,3,1,1.0,2,2,2,4,2,1,0,0,0,1,1,0,1,1,0
PDS-1155,3,1,1.0,2,2,2,4,5,1,0,0,0,0,0,1,1,0,0
PDS-1166,3,1,1.0,2,2,0,8,3,2,0,0,0,0,0,2,1,0,0
PDS-1168,1,1,1.0,2,2,1,6,5,3,2,0,0,1,0,2,0,0,1
PDS-1170,3,1,1.0,2,2,2,3,3,0,0,0,0,0,0,1,2,0,0
PDS-1172,1,1,0.9925077126487439,5,2,2,0,3,1,1,0,0,0,0,3,2,0,2
PDS-1178,1,1,1.0,5,2,2,2,1,0,0,0,0,0,0,0,1,0,0
PDS-1197,3,1,1.0,2,2,2,2,2,0,0,0,0,1,0,0,0,0,0
PDS-1201,3,1,1.0,2,1,1,8,3,1,2,0,0,1,2,1,0,2,2
PDS-1208,3,1,1.0,2,2,2,5,4,1,0,0,0,0,0,0,1,0,0
PDS-1215,1,1,1.0,5,2,2,8,2,0,0,0,0,0,0,1,1,0,0
PDS-1219,3,1,1.0,2,2,0,4,3,1,1,0,0,0,1,1,2,1,3
PDS-1229,1,1,1.0,2,2,1,4,3,2,0,0,0,1,0,1,1,0,0
PDS-1230,3,1,1.0,2,2,2,0,1,0,0,0,0,0,0,1,1,0,0
PDS-1231,3,6,1.0,2,1,1,8,7,5,2,0,1,0,5,4,1,6,7
PDS-1240,3,4,1.0,2,2,2,7,6,1,2,0,0,1,9,5,0,4,10
PDS-1241,3,1,1.0,2,2,2,6,2,0,0,0,0,1,0,0,1,0,0
PDS-1249,3,4,1.0,3,2,0,10,11,0,1,1,0,1,4,3,0,1,3
PDS-1253,3,6,1.0,2,2,1,32,13,5,8,0,0,1,12,15,0,12,4
PDS-1263,3,1,1.0,2,2,2,6,5,0,0,0,0,1,0,1,1,0,0
PDS-1268,3,6,1.0,2,2,1,6,6,2,2,0,0,1,1,3,1,2,0
PDS-1272,3,1,1.0,2,2,2,4,2,0,0,0,0,0,0,1,1,0,0
PDS-1280,3,1,0.9992094861660079,2,2,0,0,2,1,0,0,0,1,0,1,0,0,2
PDS-1284,3,1,1.0,2,2,2,4,3,1,1,0,0,0,1,1,2,0,1
PDS-1287,3,1,0.9994794377928162,2,2,2,2,4,1,0,0,0,1,1,1,1,1,0
PDS-1290,3,1,1.0,2,2,2,4,2,0,0,0,0,0,1,3,2,0,0
PDS-1297,3,4,1.0,2,2,0,20,6,0,0,0,0,2,0,0,1,1,0
PDS-1301,3,1,1.0,2,2,1,2,2,1,1,0,0,0,1,2,1,2,0
PDS-1305,3,3,1.0,2,2,1,4,2,1,1,0,0,0,2,2,1,0,0
PDS-1307,3,1,1.0,2,2,2,2,2,1,0,0,0,1,0,2,1,2,1
PDS-1308,3,1,1.0,2,2,0,10,4,3,3,0,0,1,0,4,0,0,0
PDS-1313,3,1,1.0,2,2,2,7,2,1,1,1,0,1,0,0,0,0,0
PDS-1317,1,1,1.0,5,2,2,4,2,1,1,0,0,0,0,1,2,0,0
PDS-1320,3,1,1.0,2,2,2,2,2,0,0,0,0,1,1,1,0,0,0
PDS-1325,3,1,0.9409448818897638,2,2,2,8,3,2,3,0,0,0,2,1,0,2,0
PDS-1342,3,6,1.0,3,1,1,8,2,0,0,0,0,0,6,2,1,7,0
PDS-1343,3,4,1.0,2,2,0,2,1,1,1,0,0,0,0,0,0,1,0
PDS-1354,2,1,0.9738219895287958,2,2,2,2,3,2,0,0,0,1,0,1,0,0,0
PDS-1362,3,1,0.9993804213135068,2,2,1,4,3,1,0,0,0,0,0,1,1,0,0
PDS-1364,3,1,1.0,2,2,2,2,6,0,1,0,1,1,2,6,1,3,4
PDS-1368,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,1,0,0
PDS-1377,3,1,1.0,2,2,2,6,3,0,1,0,0,0,1,1,0,1,0
PDS-1379,3,1,1.0,2,2,0,2,2,0,0,0,0,0,0,3,1,0,0
PDS-1381,1,1,1.0,2,1,1,12,6,2,0,0,0,0,0,2,0,0,0
PDS-1382,3,1,1.0,2,2,2,2,6,0,0,0,0,0,1,3,1,2,1
PDS-1383,3,5,1.0,2,1,1,18,6,1,1,0,1,1,4,2,0,2,0
PDS-1390,3,1,1.0,3,1,1,6,2,0,0,0,0,0,3,3,1,0,1
PDS-1402,3,1,1.0,2,2,2,4,2,1,0,0,0,0,0,1,1,0,0
PDS-1404,1,1,1.0,5,2,2,2,4,1,1,0,0,0,0,1,1,0,0
PDS-1410,3,1,1.0,2,2,2,9,6,1,0,0,0,1,2,3,0,2,2
PDS-1425,3,1,1.0,2,2,2,4,4,0,0,0,0,0,0,1,1,0,0
PDS-1429,3,1,1.0,2,2,1,2,5,0,0,0,0,1,0,2,2,0,0
PDS-1432,2,1,1.0,2,2,2,4,5,1,0,0,0,0,1,5,1,1,1
PDS-1436,3,1,1.0,2,2,2,0,2,0,0,0,0,0,1,1,1,2,5
PDS-1446,3,1,1.0,2,2,2,6,4,0,0,0,0,1,1,0,1,0,0
PDS-1448,3,1,1.0,3,2,2,4,4,0,0,0,0,0,0,2,0,0,0
PDS-1461,3,1,1.0,2,2,2,6,1,0,0,0,0,1,0,1,1,0,1
PDS-1482,3,1,1.0,2,2,0,8,4,1,1,0,0,1,0,1,1,0,0
PDS-1493,3,1,1.0,2,2,2,2,2,0,0,0,0,0,1,0,1,2,0
PDS-1501,3,3,1.0,2,1,1,12,3,2,0,1,0,1,6,4,0,3,4
PDS-1518,3,4,1.0,2,2,1,6,3,2,3,0,0,0,4,3,0,5,2
PDS-1519,3,4,1.0,2,2,1,8,2,1,1,0,0,1,0,2,0,0,1
PDS-1520,3,1,1.0,2,2,0,4,2,0,0,0,0,1,0,2,0,0,0
PDS-1525,3,1,1.0,2,2,2,8,3,2,1,0,0,1,0,2,1,0,0
PDS-1530,1,1,1.0,2,2,2,2,3,1,1,0,0,1,0,1,1,0,0
PDS-1532,3,3,1.0,2,2,0,2,3,1,0,0,0,0,2,1,1,3,0
PDS-1539,3,3,1.0,2,2,2,2,3,1,0,0,0,1,0,1,1,0,0
